filename,width,height,class,xmin,ymin,xmax,ymax
armas (1073),661,496,pistol,386,52,594,248
armas (1074),570,562,pistol,26,156,529,474
armas (1075),773,569,pistol,46,208,741,482
armas (1076),480,360,pistol,363,125,416,197
armas (1077),1024,768,pistol,763,263,926,640
armas (1078),480,360,pistol,13,97,85,152
armas (1079),615,346,pistol,195,143,255,173
armas (1080),1368,768,pistol,966,188,1126,322
armas (1081),299,470,pistol,113,105,148,132
armas (1081),299,470,pistol,155,102,200,146
armas (1082),703,535,pistol,340,32,537,103
armas (1083),136,170,pistol,66,4,85,55
armas (1084),450,319,pistol,49,110,248,241
armas (1085),114,170,pistol,70,127,83,156
armas (1086),271,194,pistol,224,61,257,81
armas (1086),271,194,pistol,6,106,44,132
armas (1087),600,436,pistol,57,18,567,412
armas (1088),2804,2104,pistol,783,633,2056,1147
armas (1089),800,602,pistol,241,94,713,469
armas (1090),3072,2166,pistol,531,448,1101,693
armas (1091),1000,752,pistol,70,32,892,711
armas (1092),538,218,pistol,28,1,389,217
armas (1093),800,560,pistol,35,10,780,536
armas (1094),1500,1125,pistol,9,336,538,691
armas (1095),1500,1125,pistol,733,300,1242,750
armas (1096),1650,1100,pistol,317,198,1396,952
armas (1097),300,257,pistol,1,42,295,242
armas (1098),1033,775,pistol,626,197,710,243
armas (1099),512,316,pistol,247,58,512,235
armas (1100),600,426,pistol,12,8,588,394
armas (1101),380,253,pistol,110,82,271,174
armas (1102),1400,856,pistol,171,84,1315,460
armas (1103),1060,1050,pistol,68,291,608,695
armas (1104),360,240,pistol,29,68,340,181
armas (1105),1200,1880,pistol,31,20,588,477
armas (1105),1200,1880,pistol,620,25,1171,497
armas (1105),1200,1880,pistol,325,300,879,517
armas (1105),1200,1880,pistol,45,582,377,1014
armas (1105),1200,1880,pistol,431,491,702,1022
armas (1105),1200,1880,pistol,762,548,962,954
armas (1105),1200,1880,pistol,1031,585,1117,942
armas (1105),1200,1880,pistol,45,1054,531,1454
armas (1105),1200,1880,pistol,577,1085,1157,1460
armas (1105),1200,1880,pistol,40,1474,531,1780
armas (1106),1080,720,pistol,21,15,1067,685
armas (1107),1628,1499,pistol,1001,516,1444,949
armas (1108),206,300,pistol,65,244,108,287
armas (1109),700,394,pistol,188,112,278,300
armas (1110),900,506,pistol,64,93,258,241
armas (1111),3416,2592,pistol,241,862,1230,1629
armas (1112),600,400,pistol,389,72,502,269
armas (1113),560,370,pistol,16,9,551,349
armas (1114),600,425,pistol,42,141,166,203
armas (1115),708,495,pistol,201,295,234,364
armas (1116),520,540,pistol,76,176,189,354
armas (1117),600,400,pistol,375,77,548,190
armas (1118),866,1390,pistol,77,433,303,763
armas (1119),866,1390,pistol,79,507,258,635
armas (1120),866,1390,pistol,109,495,326,622
armas (1121),1200,801,pistol,869,168,1099,396
armas (1122),449,300,pistol,109,70,348,175
armas (1123),800,430,pistol,258,163,560,365
armas (1124),940,545,pistol,222,112,368,537
armas (1125),594,410,pistol,312,115,569,234
armas (1126),450,320,pistol,147,85,348,221
armas (1127),300,470,pistol,70,154,110,182
armas (1128),640,447,pistol,36,72,301,267
armas (1129),800,430,pistol,281,58,571,343
armas (1130),866,1390,pistol,41,456,292,633
armas (1131),1000,685,pistol,104,26,567,685
armas (1132),1300,926,pistol,176,14,854,422
armas (1133),660,440,pistol,262,107,323,137
armas (1134),560,368,pistol,201,41,456,303
armas (1135),670,409,pistol,229,246,651,397
armas (1136),620,475,pistol,384,141,544,263
armas (1137),750,418,pistol,90,4,685,417
armas (1138),300,199,pistol,49,13,256,188
armas (1139),600,417,pistol,87,58,548,314
armas (1140),1200,1200,pistol,441,247,741,622
armas (1141),2000,1325,pistol,487,512,696,718
armas (1142),380,309,pistol,39,56,344,269
armas (1143),812,541,pistol,456,132,546,216
armas (1144),550,309,pistol,188,165,238,228
armas (1144),550,309,pistol,440,108,491,163
armas (1145),2569,2389,pistol,40,102,2568,2342
armas (1146),1280,1125,pistol,154,76,1166,490
armas (1147),620,350,pistol,43,239,102,304
armas (1148),1280,854,pistol,40,235,386,759
armas (1148),1280,854,pistol,306,99,624,587
armas (1148),1280,854,pistol,522,261,856,801
armas (1148),1280,854,pistol,664,83,968,567
armas (1148),1280,854,pistol,898,205,1244,737
armas (1149),650,400,pistol,27,25,628,361
armas (1150),365,205,pistol,58,1,278,168
armas (1151),637,480,pistol,84,40,492,377
armas (1152),511,259,pistol,1,3,501,251
armas (1153),640,447,pistol,159,201,215,328
armas (1154),637,510,pistol,359,337,422,375
armas (1154),637,510,pistol,131,111,178,163
armas (1155),570,374,pistol,31,292,82,328
armas (1156),1536,1536,pistol,1026,543,1348,1285
armas (1156),1536,1536,pistol,94,411,441,1514
armas (1157),2000,1000,pistol,553,103,1078,1000
armas (1158),2000,1000,pistol,775,3,1256,887
armas (1159),485,340,pistol,287,82,481,263
armas (1160),450,308,pistol,1,79,139,135
armas (1160),450,308,pistol,285,1,437,66
armas (1161),2000,1000,pistol,528,268,1218,625
armas (1162),2000,1000,pistol,334,43,1996,978
armas (1163),700,525,pistol,319,22,388,74
armas (1163),700,525,pistol,53,200,130,277
armas (1163),700,525,pistol,174,55,217,88
armas (1163),700,525,pistol,200,394,241,423
armas (1163),700,525,pistol,532,29,586,84
armas (1163),700,525,pistol,351,311,397,356
armas (1163),700,525,pistol,606,324,644,353
armas (1163),700,525,pistol,438,373,470,387
armas (1163),700,525,pistol,479,505,513,524
armas (1163),700,525,pistol,255,160,291,173
armas (1163),700,525,pistol,479,145,513,162
armas (1164),1300,972,pistol,219,343,559,700
armas (1165),2000,1000,pistol,1153,405,1676,999
armas (1166),595,286,pistol,26,58,541,274
armas (1167),259,194,pistol,21,78,146,163
armas (1167),259,194,pistol,84,31,221,111
armas (1168),608,386,pistol,196,232,211,255
armas (1169),880,440,pistol,495,11,878,204
armas (1170),450,320,pistol,147,85,348,221
armas (1171),1024,623,pistol,3,6,1017,595
armas (1172),995,690,pistol,55,65,865,415
armas (1173),523,350,pistol,41,15,478,319
armas (1174),1280,720,pistol,136,253,553,436
armas (1175),1280,1007,pistol,83,77,1239,945
armas (1176),1280,960,pistol,352,155,1221,818
armas (1177),1000,630,pistol,376,46,970,476
armas (1178),575,302,pistol,162,60,225,146
armas (1179),640,360,pistol,88,177,104,207
armas (1179),640,360,pistol,291,122,333,216
armas (1180),500,369,pistol,15,9,488,342
armas (1181),600,338,pistol,1,149,126,235
armas (1182),705,705,pistol,500,213,536,233
armas (1183),705,705,pistol,496,263,583,374
armas (1184),705,705,pistol,554,299,671,361
armas (1185),640,480,pistol,130,7,591,331
armas (1186),585,390,pistol,8,12,583,379
armas (1187),500,455,pistol,44,155,234,427
armas (1188),630,420,pistol,117,56,591,403
armas (1189),2000,1600,pistol,79,243,1928,1351
armas (1190),300,293,pistol,4,29,300,245
armas (1191),400,397,pistol,13,14,369,390
armas (1192),124,160,pistol,8,37,65,115
armas (1192),124,160,pistol,55,70,119,152
armas (1193),450,354,pistol,13,45,441,331
armas (1194),500,395,pistol,291,102,390,170
armas (1195),500,320,pistol,18,19,484,300
armas (1196),500,375,pistol,9,22,479,328
armas (1197),500,375,pistol,13,136,359,364
armas (1197),500,375,pistol,78,7,492,218
armas (1198),500,341,pistol,1,4,494,322
armas (1199),500,375,pistol,19,7,447,321
armas (1200),500,375,pistol,184,145,361,293
armas (1200),500,375,pistol,12,117,262,242
armas (1201),500,375,pistol,91,28,352,148
armas (1202),500,375,pistol,177,134,208,168
armas (1203),680,459,pistol,197,239,282,415
armas (1203),680,459,pistol,289,217,406,432
armas (1203),680,459,pistol,427,184,527,405
armas (1203),680,459,pistol,197,57,359,188
armas (1203),680,459,pistol,319,51,525,231
armas (1204),500,375,pistol,185,156,329,223
armas (1205),500,399,pistol,49,101,226,155
armas (1205),500,399,pistol,236,66,369,141
armas (1205),500,399,pistol,424,19,500,92
armas (1205),500,399,pistol,76,227,197,390
armas (1205),500,399,pistol,344,195,486,343
armas (1206),590,416,pistol,190,16,560,259
armas (1206),590,416,pistol,12,191,380,393
armas (1207),590,376,pistol,20,16,274,349
armas (1207),590,376,pistol,309,18,558,351
armas (1208),590,441,pistol,135,163,556,398
armas (1208),590,441,pistol,18,5,406,321
armas (1209),370,336,pistol,93,13,362,227
armas (1210),500,353,pistol,12,6,496,303
armas (1211),500,348,pistol,8,11,491,304
armas (1212),500,349,pistol,13,3,475,331
armas (1213),375,500,pistol,58,1,330,375
armas (1214),500,375,pistol,231,1,500,251
armas (1215),333,500,pistol,1,340,121,409
armas (1216),500,311,pistol,1,3,495,304
armas (1217),500,333,pistol,87,72,199,168
armas (1218),500,375,pistol,78,82,404,340
armas (1219),500,375,pistol,78,50,369,225
armas (1220),500,375,pistol,148,136,329,267
armas (1221),290,495,pistol,15,91,81,123
armas (1222),500,313,pistol,57,43,404,276
armas (1223),200,133,pistol,69,8,191,122
armas (1224),570,359,pistol,6,31,534,336
armas (1225),500,375,pistol,167,232,266,289
armas (1225),500,375,pistol,245,269,366,324
armas (1226),450,300,pistol,249,87,296,120
armas (1226),450,300,pistol,297,93,334,114
armas (1227),500,375,pistol,84,56,439,289
armas (1228),375,500,pistol,200,99,221,111
armas (1228),375,500,pistol,223,366,294,500
armas (1229),99,93,pistol,40,38,76,88
armas (1230),500,375,pistol,45,35,488,307
armas (1231),500,400,pistol,273,120,375,244
armas (1232),500,375,pistol,48,23,304,212
armas (1233),500,321,pistol,1,5,498,317
armas (1234),472,500,pistol,300,67,363,119
armas (1235),500,375,pistol,24,13,444,311
armas (1236),500,375,pistol,26,60,485,331
armas (1237),500,401,pistol,1,54,494,354
armas (1238),500,375,pistol,11,43,478,341
armas (1239),500,333,pistol,55,8,469,318
armas (1240),500,333,pistol,207,12,477,224
armas (1241),500,406,pistol,56,50,431,358
armas (1242),500,349,pistol,59,25,489,254
armas (1243),500,375,pistol,23,31,478,269
armas (1244),500,247,pistol,20,20,478,222
armas (1245),540,406,pistol,23,38,517,377
armas (1246),376,500,pistol,90,132,282,253
armas (1247),1024,762,pistol,151,1,999,744
armas (1248),500,493,pistol,87,81,189,138
armas (1248),500,493,pistol,54,310,160,375
armas (1248),500,493,pistol,336,334,437,386
armas (1248),500,493,pistol,311,69,438,135
armas (1249),500,375,pistol,11,50,485,341
armas (1250),500,333,pistol,187,120,264,161
armas (1251),500,375,pistol,16,22,495,359
armas (1252),500,375,pistol,20,16,488,359
armas (1252),500,375,pistol,232,179,334,261
armas (1253),264,422,pistol,4,1,236,416
armas (1254),500,370,pistol,289,167,482,307
armas (1254),500,370,pistol,232,70,410,237
armas (1254),500,370,pistol,116,32,246,253
armas (1254),500,370,pistol,13,107,191,304
armas (1255),500,375,pistol,2,1,219,162
armas (1255),500,375,pistol,79,7,429,170
armas (1255),500,375,pistol,152,102,500,286
armas (1255),500,375,pistol,112,219,500,372
armas (1256),500,375,pistol,5,96,480,253
armas (1257),500,299,pistol,8,12,490,282
armas (1258),500,288,pistol,307,104,360,137
armas (1258),500,288,pistol,328,126,369,150
armas (1258),500,288,pistol,368,96,428,127
armas (1258),500,288,pistol,385,117,447,144
armas (1258),500,288,pistol,397,137,444,169
armas (1258),500,288,pistol,413,157,466,187
armas (1259),333,500,pistol,176,326,241,433
armas (1260),500,375,pistol,187,126,244,196
armas (1260),500,375,pistol,278,103,323,212
armas (1261),500,375,pistol,37,72,290,297
armas (1262),640,480,pistol,360,260,523,396
armas (1263),500,324,pistol,94,11,449,209
armas (1264),500,334,pistol,121,27,466,233
armas (1265),500,333,pistol,91,37,378,264
armas (1266),500,333,pistol,282,98,367,131
armas (1267),333,500,pistol,133,241,172,333
armas (1268),500,339,pistol,91,27,202,289
armas (1268),500,339,pistol,308,120,386,257
armas (1269),500,339,pistol,94,25,206,286
armas (1269),500,339,pistol,303,120,382,259
armas (1270),500,400,pistol,49,181,354,373
armas (1271),500,333,pistol,311,139,337,166
armas (1272),500,333,pistol,244,133,286,154
armas (1273),500,333,pistol,221,90,251,108
armas (1274),500,333,pistol,58,18,482,323
armas (1275),500,352,pistol,21,12,456,340
armas (1276),500,404,pistol,28,90,457,354
armas (1277),500,323,pistol,210,54,291,215
armas (1278),500,333,pistol,22,43,284,175
armas (1279),334,500,pistol,58,14,272,472
armas (1280),500,500,pistol,126,163,276,288
armas (1281),500,375,pistol,84,98,370,237
armas (1282),500,333,pistol,171,69,277,234
armas (1283),500,375,pistol,30,141,239,230
armas (1284),500,352,pistol,27,20,473,352
armas (1285),500,339,pistol,34,26,470,317
armas (1286),500,333,pistol,26,32,318,255
armas (1287),320,209,pistol,123,9,170,117
armas (1288),500,375,pistol,125,131,146,150
armas (1289),500,374,pistol,249,136,262,149
armas (1290),500,348,pistol,160,44,351,162
armas (1291),500,375,pistol,102,175,118,188
armas (1292),375,500,pistol,102,191,176,313
armas (1292),375,500,pistol,238,271,261,305
armas (1293),333,500,pistol,33,14,127,258
armas (1294),500,260,pistol,74,15,436,241
armas (1295),496,487,pistol,69,88,282,470
armas (1295),496,487,pistol,278,17,482,348
armas (1296),500,586,pistol,82,250,370,516
armas (1297),500,311,pistol,216,76,427,311
armas (1297),500,311,pistol,28,109,278,311
armas (1298),450,342,pistol,63,16,417,252
armas (1299),450,338,pistol,43,12,406,317
armas (1300),405,302,pistol,8,2,401,296
armas (1301),500,375,pistol,50,57,478,317
armas (1302),500,375,pistol,29,64,425,359
armas (1303),300,275,pistol,2,2,300,273
armas (1304),300,382,pistol,1,186,297,379
armas (1304),300,382,pistol,1,3,297,185
armas (1305),300,264,pistol,4,3,299,262
armas (1306),500,347,pistol,8,11,496,336
armas (1307),500,373,pistol,21,21,471,357
armas (1308),500,370,pistol,24,15,475,348
armas (1309),500,399,pistol,240,121,453,371
armas (1310),1024,682,pistol,81,74,972,549
armas (1311),555,434,pistol,51,12,503,392
armas (1312),1000,823,pistol,35,11,956,773
armas (1313),1000,679,pistol,28,39,971,657
armas (1314),955,1000,pistol,36,63,926,978
armas (1315),1000,750,pistol,50,29,986,701
armas (1316),1000,642,pistol,27,48,977,616
armas (1317),1000,730,pistol,35,35,958,671
armas (1318),1000,851,pistol,43,46,931,773
armas (1319),883,1000,pistol,71,38,829,946
armas (1320),980,1000,pistol,21,38,921,950
armas (1321),1000,944,pistol,88,55,946,891
armas (1322),1000,555,pistol,41,52,990,526
armas (1323),1000,747,pistol,72,78,912,704
armas (1324),576,498,pistol,30,28,544,447
armas (1325),758,392,pistol,21,31,738,344
armas (1326),584,405,pistol,25,17,571,332
armas (1327),500,413,pistol,22,54,488,363
armas (1328),450,300,pistol,41,78,134,115
armas (1328),450,300,pistol,39,131,88,158
armas (1328),450,300,pistol,50,163,75,182
armas (1328),450,300,pistol,56,184,72,193
armas (1328),450,300,pistol,58,198,69,204
armas (1329),590,408,pistol,37,31,553,377
armas (1330),570,415,pistol,3,60,556,388
armas (1331),1000,743,pistol,10,2,1000,739
armas (1332),1024,993,pistol,318,717,614,881
armas (1332),1024,993,pistol,649,171,962,325
armas (1332),1024,993,pistol,357,275,624,415
armas (1332),1024,993,pistol,218,46,514,209
armas (1333),1024,768,pistol,1,108,992,552
armas (1334),1001,464,pistol,1,5,1001,463
armas (1335),536,402,pistol,184,41,483,358
armas (1336),1024,768,pistol,71,68,1021,617
armas (1337),1024,683,pistol,179,134,867,543
armas (1338),1024,641,pistol,37,35,979,610
armas (1339),450,389,pistol,6,13,438,248
armas (1340),800,717,pistol,22,20,403,490
armas (1340),800,717,pistol,445,24,777,516
armas (1341),800,575,pistol,392,90,774,347
armas (1341),800,575,pistol,188,273,569,527
armas (1342),1024,432,pistol,4,1,1019,431
armas (1343),1024,724,pistol,169,51,851,645
armas (1344),500,332,pistol,44,18,234,293
armas (1344),500,332,pistol,228,22,417,292
armas (1345),800,549,pistol,20,61,798,497
armas (1345),800,549,pistol,474,323,800,530
armas (1346),590,444,pistol,85,26,477,413
armas (1347),590,426,pistol,40,40,553,380
armas (1348),332,500,pistol,28,64,98,206
armas (1349),500,332,pistol,1,43,137,301
armas (1350),500,330,pistol,91,36,456,253
armas (1351),500,333,pistol,147,16,364,325
armas (1352),500,333,pistol,113,40,497,284
armas (1353),500,375,pistol,94,49,410,292
armas (1354),500,458,pistol,18,25,478,346
armas (1355),500,375,pistol,278,97,317,111
armas (1356),500,326,pistol,1,1,499,320
armas (1357),500,334,pistol,133,1,500,240
armas (1358),500,404,pistol,16,31,223,284
armas (1358),500,404,pistol,267,36,478,292
armas (1359),422,500,pistol,112,282,389,481
armas (1359),422,500,pistol,27,21,343,215
armas (1360),500,333,pistol,24,5,243,178
armas (1361),500,375,pistol,280,83,429,271
armas (1361),500,375,pistol,73,84,317,200
armas (1362),500,334,pistol,216,53,381,205
armas (1363),333,500,pistol,5,301,259,427
armas (1364),500,365,pistol,65,168,481,345
armas (1365),500,333,pistol,17,12,494,323
armas (1366),333,500,pistol,81,169,126,275
armas (1367),500,375,pistol,275,42,406,198
armas (1368),500,334,pistol,333,71,441,166
armas (1369),334,500,pistol,247,122,308,163
armas (1370),500,238,pistol,38,49,470,192
armas (1371),500,375,pistol,73,151,157,185
armas (1372),500,376,pistol,30,70,365,374
armas (1373),500,327,pistol,34,1,456,327
armas (1374),500,403,pistol,1,147,356,391
armas (1375),500,375,pistol,93,1,500,371
armas (1376),335,500,pistol,17,111,335,443
armas (1377),500,335,pistol,174,82,473,275
armas (1378),365,500,pistol,60,394,155,461
armas (1378),365,500,pistol,207,386,337,476
armas (1378),365,500,pistol,51,281,159,365
armas (1378),365,500,pistol,176,275,319,365
armas (1378),365,500,pistol,179,178,310,263
armas (1379),500,473,pistol,85,348,243,457
armas (1379),500,473,pistol,277,349,420,464
armas (1379),500,473,pistol,9,222,156,328
armas (1379),500,473,pistol,185,228,333,333
armas (1379),500,473,pistol,339,241,456,339
armas (1380),500,314,pistol,382,1,499,183
armas (1381),500,375,pistol,35,15,500,280
armas (1382),500,299,pistol,38,34,476,272
armas (1383),500,375,pistol,60,92,500,375
armas (1384),500,375,pistol,87,29,491,358
armas (1385),500,375,pistol,121,118,418,295
armas (1386),500,333,pistol,28,77,421,299
armas (1387),500,333,pistol,1,1,452,281
armas (1388),500,332,pistol,331,120,460,192
armas (1389),500,357,pistol,27,171,118,249
armas (1390),500,375,pistol,72,1,290,363
armas (1391),500,375,pistol,247,112,286,152
armas (1392),3262,2446,pistol,2,256,1683,2446
armas (1392),3262,2446,pistol,1606,111,3044,2039
armas (1393),500,375,pistol,133,201,214,277
armas (1394),375,500,pistol,211,154,296,224
armas (1395),500,375,pistol,403,75,491,130
armas (1396),500,375,pistol,143,96,333,308
armas (1397),336,495,pistol,116,137,154,181
armas (1398),500,333,pistol,279,162,354,229
armas (1399),500,422,pistol,17,170,318,398
armas (1399),500,422,pistol,138,13,483,276
armas (1400),500,351,pistol,21,24,414,282
armas (1401),500,375,pistol,126,89,373,211
armas (1401),500,375,pistol,81,217,360,363
armas (1402),500,375,pistol,104,163,328,304
armas (1402),500,375,pistol,154,80,384,249
armas (1403),500,375,pistol,104,99,386,307
armas (1404),500,443,pistol,52,81,446,361
armas (1404),500,443,pistol,93,250,182,372
armas (1405),500,375,pistol,32,24,447,350
armas (1406),500,375,pistol,10,55,495,307
armas (1407),500,375,pistol,12,36,482,338
armas (1408),500,375,pistol,65,210,179,333
armas (1408),500,375,pistol,192,246,321,365
armas (1409),500,375,pistol,30,57,468,297
armas (1410),500,375,pistol,60,20,430,375
armas (1411),500,375,pistol,179,125,221,189
armas (1412),500,461,pistol,91,91,384,422
armas (1413),500,391,pistol,94,2,500,349
armas (1414),500,381,pistol,43,24,362,343
armas (1415),500,375,pistol,22,67,438,276
armas (1416),500,333,pistol,334,146,384,227
armas (1417),500,449,pistol,113,122,190,271
armas (1418),500,333,pistol,270,153,307,229
armas (1419),500,469,pistol,170,59,348,461
armas (1420),500,376,pistol,196,169,339,246
armas (1421),500,334,pistol,22,153,233,246
armas (1421),500,334,pistol,265,136,478,247
armas (1422),500,335,pistol,67,36,277,230
armas (1423),500,333,pistol,47,38,455,307
armas (1424),500,333,pistol,61,64,307,311
armas (1425),500,333,pistol,12,83,493,325
armas (1426),500,442,pistol,102,84,386,411
armas (1427),500,337,pistol,39,48,456,283
armas (1428),500,333,pistol,51,102,459,277
armas (1429),500,375,pistol,72,37,413,375
armas (1430),357,500,pistol,41,161,356,434
armas (1431),500,339,pistol,230,58,454,206
armas (1432),500,375,pistol,108,77,479,294
armas (1433),500,375,pistol,1,47,500,375
armas (1434),500,375,pistol,78,45,443,316
armas (1435),375,500,pistol,46,74,373,250
armas (1436),375,500,pistol,106,9,270,118
armas (1437),500,375,pistol,1,40,500,357
armas (1438),500,375,pistol,79,86,491,342
armas (1439),500,285,pistol,156,17,238,67
armas (1439),500,285,pistol,301,12,367,62
armas (1440),500,375,pistol,169,64,235,126
armas (1440),500,375,pistol,257,69,319,122
armas (1441),500,333,pistol,103,46,417,241
armas (1442),500,334,pistol,65,23,484,203
armas (1443),500,375,pistol,47,46,482,267
armas (1444),500,334,pistol,121,165,215,255
armas (1445),500,333,pistol,1,61,500,312
armas (1446),333,500,pistol,33,7,225,500
armas (1447),500,333,pistol,57,121,396,259
armas (1448),500,333,pistol,272,120,365,160
armas (1448),500,333,pistol,245,159,394,216
armas (1448),500,333,pistol,103,167,206,204
armas (1448),500,333,pistol,186,68,239,99
armas (1448),500,333,pistol,101,55,210,107
armas (1448),500,333,pistol,253,68,314,101
armas (1449),500,333,pistol,13,102,487,293
armas (1450),500,375,pistol,78,79,433,304
armas (1451),500,375,pistol,92,63,417,315
armas (1452),500,333,pistol,33,127,174,249
armas (1453),500,333,pistol,29,43,498,243
armas (1454),500,340,pistol,248,103,280,139
armas (1455),500,334,pistol,317,153,362,188
armas (1456),500,338,pistol,39,155,149,207
armas (1457),500,347,pistol,88,197,180,271
armas (1458),500,336,pistol,31,89,463,259
armas (1459),333,500,pistol,13,120,333,442
armas (1460),500,375,pistol,26,96,498,348
armas (1461),500,375,pistol,125,15,435,370
armas (1462),500,375,pistol,223,100,271,165
armas (1463),500,375,pistol,197,189,385,315
armas (1463),500,375,pistol,281,86,336,160
armas (1464),500,375,pistol,28,58,461,349
armas (1465),500,375,pistol,101,51,488,307
armas (1466),500,333,pistol,40,35,474,290
armas (1467),335,500,pistol,152,187,221,439
armas (1468),500,412,pistol,367,89,426,176
armas (1469),500,263,pistol,13,19,484,232
armas (1470),500,285,pistol,11,14,479,248
armas (1471),500,355,pistol,76,72,158,118
armas (1471),500,355,pistol,155,73,190,99
armas (1472),374,500,pistol,25,225,346,422
armas (1473),500,333,pistol,10,91,500,254
armas (1474),375,500,pistol,91,266,129,357
armas (1475),500,373,pistol,23,112,418,340
armas (1476),500,373,pistol,33,58,428,319
armas (1477),334,500,pistol,80,251,269,476
armas (1478),500,333,pistol,120,93,444,300
armas (1478),500,333,pistol,1,2,167,136
armas (1479),500,334,pistol,73,92,423,305
armas (1480),450,344,pistol,16,9,430,321
armas (1481),500,334,pistol,46,140,174,248
armas (1482),500,377,pistol,8,58,484,325
armas (1483),250,138,pistol,16,14,227,117
armas (1484),500,281,pistol,2,28,500,281
armas (1485),500,281,pistol,66,13,446,247
armas (1486),500,281,pistol,9,2,497,274
armas (1487),500,315,pistol,13,10,467,301
armas (1488),500,375,pistol,56,85,406,286
armas (1489),375,500,pistol,90,27,256,248
armas (1489),375,500,pistol,93,1,302,167
armas (1490),333,500,pistol,32,35,321,487
armas (1491),333,500,pistol,22,11,320,434
armas (1491),333,500,pistol,2,223,325,500
armas (1492),500,420,pistol,60,185,341,388
armas (1492),500,420,pistol,151,36,431,240
armas (1493),500,375,pistol,130,11,442,346
armas (1494),500,375,pistol,15,24,491,324
armas (1495),500,375,pistol,15,20,489,280
armas (1496),500,366,pistol,76,132,450,350
armas (1496),500,366,pistol,104,10,472,200
armas (1497),500,388,pistol,19,53,462,356
armas (1498),500,375,pistol,27,17,476,298
armas (1499),500,320,pistol,2,12,492,310
armas (1500),500,375,pistol,111,67,410,337
armas (1501),500,375,pistol,215,28,309,362
armas (1502),500,375,pistol,117,93,395,303
armas (1503),500,375,pistol,120,71,403,290
armas (1504),329,500,pistol,142,208,297,465
